Interval start,Interval stop,Camera serial number,Counter name,Pedestrians coming in,Pedestrians going out
2024-01-19 00:00:00,2024-01-20 00:00:00,ACCC8E075950,Pääovi,681,731
2024-01-20 00:00:00,2024-01-21 00:00:00,ACCC8E075950,Pääovi,966,868
2024-01-21 00:00:00,2024-01-22 00:00:00,ACCC8E075950,Pääovi,1496,1373
2024-01-22 00:00:00,2024-01-23 00:00:00,ACCC8E075950,Pääovi,956,915
2024-01-23 00:00:00,2024-01-24 00:00:00,ACCC8E075950,Pääovi,1083,957
2024-01-24 00:00:00,2024-01-25 00:00:00,ACCC8E075950,Pääovi,1034,926
2024-01-25 00:00:00,2024-01-26 00:00:00,ACCC8E075950,Pääovi,817,757
2024-01-26 00:00:00,2024-01-27 00:00:00,ACCC8E075950,Pääovi,848,837
2024-01-27 00:00:00,2024-01-28 00:00:00,ACCC8E075950,Pääovi,740,736
2024-01-28 00:00:00,2024-01-29 00:00:00,ACCC8E075950,Pääovi,3084,2766
2024-01-29 00:00:00,2024-01-30 00:00:00,ACCC8E075950,Pääovi,961,878
2024-01-30 00:00:00,2024-01-31 00:00:00,ACCC8E075950,Pääovi,887,926
2024-01-31 00:00:00,2024-02-01 00:00:00,ACCC8E075950,Pääovi,913,842
2024-02-01 00:00:00,2024-02-02 00:00:00,ACCC8E075950,Pääovi,945,879
2024-02-02 00:00:00,2024-02-03 00:00:00,ACCC8E075950,Pääovi,765,768
2024-02-03 00:00:00,2024-02-04 00:00:00,ACCC8E075950,Pääovi,849,879
2024-02-04 00:00:00,2024-02-05 00:00:00,ACCC8E075950,Pääovi,1029,1024
2024-02-05 00:00:00,2024-02-06 00:00:00,ACCC8E075950,Pääovi,1041,974
2024-02-06 00:00:00,2024-02-07 00:00:00,ACCC8E075950,Pääovi,1052,942
2024-02-07 00:00:00,2024-02-08 00:00:00,ACCC8E075950,Pääovi,880,875
2024-02-08 00:00:00,2024-02-09 00:00:00,ACCC8E075950,Pääovi,814,730
2024-02-09 00:00:00,2024-02-10 00:00:00,ACCC8E075950,Pääovi,838,880
2024-02-10 00:00:00,2024-02-11 00:00:00,ACCC8E075950,Pääovi,1114,913
2024-02-11 00:00:00,2024-02-12 00:00:00,ACCC8E075950,Pääovi,1936,1710
2024-02-12 00:00:00,2024-02-13 00:00:00,ACCC8E075950,Pääovi,937,954
2024-02-13 00:00:00,2024-02-14 00:00:00,ACCC8E075950,Pääovi,2917,2546
2024-02-14 00:00:00,2024-02-15 00:00:00,ACCC8E075950,Pääovi,853,825
2024-02-15 00:00:00,2024-02-16 00:00:00,ACCC8E075950,Pääovi,851,856
2024-02-16 00:00:00,2024-02-17 00:00:00,ACCC8E075950,Pääovi,900,788
2024-02-17 00:00:00,2024-02-18 00:00:00,ACCC8E075950,Pääovi,899,765
2024-02-18 00:00:00,2024-02-19 00:00:00,ACCC8E075950,Pääovi,1010,748
2024-02-19 00:00:00,2024-02-20 00:00:00,ACCC8E075950,Pääovi,1211,1154
2024-02-20 00:00:00,2024-02-21 00:00:00,ACCC8E075950,Pääovi,957,986
2024-02-21 00:00:00,2024-02-22 00:00:00,ACCC8E075950,Pääovi,1042,828
2024-02-22 00:00:00,2024-02-23 00:00:00,ACCC8E075950,Pääovi,874,937
2024-02-23 00:00:00,2024-02-24 00:00:00,ACCC8E075950,Pääovi,899,797
2024-02-24 00:00:00,2024-02-25 00:00:00,ACCC8E075950,Pääovi,1039,735
2024-02-25 00:00:00,2024-02-26 00:00:00,ACCC8E075950,Pääovi,1057,726
2024-02-26 00:00:00,2024-02-27 00:00:00,ACCC8E075950,Pääovi,1337,1062
2024-02-27 00:00:00,2024-02-28 00:00:00,ACCC8E075950,Pääovi,789,787
2024-02-28 00:00:00,2024-02-29 00:00:00,ACCC8E075950,Pääovi,810,764
