Interval start,Interval stop,Camera serial number,Counter name,Pedestrians coming in,Pedestrians going out
2024-01-19 00:00:00,2024-01-20 00:00:00,ACCC8E075950,Sivuovi,68,73
2024-01-20 00:00:00,2024-01-21 00:00:00,ACCC8E075950,Sivuovi,96,86
2024-01-21 00:00:00,2024-01-22 00:00:00,ACCC8E075950,Sivuovi,149,137
2024-01-22 00:00:00,2024-01-23 00:00:00,ACCC8E075950,Sivuovi,95,91
2024-01-23 00:00:00,2024-01-24 00:00:00,ACCC8E075950,Sivuovi,108,95
2024-01-24 00:00:00,2024-01-25 00:00:00,ACCC8E075950,Sivuovi,103,92
2024-01-25 00:00:00,2024-01-26 00:00:00,ACCC8E075950,Sivuovi,81,75
2024-01-26 00:00:00,2024-01-27 00:00:00,ACCC8E075950,Sivuovi,84,83
2024-01-27 00:00:00,2024-01-28 00:00:00,ACCC8E075950,Sivuovi,74,73
2024-01-28 00:00:00,2024-01-29 00:00:00,ACCC8E075950,Sivuovi,308,276
2024-01-29 00:00:00,2024-01-30 00:00:00,ACCC8E075950,Sivuovi,96,87
2024-01-30 00:00:00,2024-01-31 00:00:00,ACCC8E075950,Sivuovi,88,92
2024-01-31 00:00:00,2024-02-01 00:00:00,ACCC8E075950,Sivuovi,91,84
2024-02-01 00:00:00,2024-02-02 00:00:00,ACCC8E075950,Sivuovi,94,87
2024-02-02 00:00:00,2024-02-03 00:00:00,ACCC8E075950,Sivuovi,76,76
2024-02-03 00:00:00,2024-02-04 00:00:00,ACCC8E075950,Sivuovi,84,87
2024-02-04 00:00:00,2024-02-05 00:00:00,ACCC8E075950,Sivuovi,102,102
2024-02-05 00:00:00,2024-02-06 00:00:00,ACCC8E075950,Sivuovi,104,97
2024-02-06 00:00:00,2024-02-07 00:00:00,ACCC8E075950,Sivuovi,105,94
2024-02-07 00:00:00,2024-02-08 00:00:00,ACCC8E075950,Sivuovi,88,87
2024-02-08 00:00:00,2024-02-09 00:00:00,ACCC8E075950,Sivuovi,81,73
2024-02-09 00:00:00,2024-02-10 00:00:00,ACCC8E075950,Sivuovi,83,88
2024-02-10 00:00:00,2024-02-11 00:00:00,ACCC8E075950,Sivuovi,111,91
2024-02-11 00:00:00,2024-02-12 00:00:00,ACCC8E075950,Sivuovi,193,171
2024-02-12 00:00:00,2024-02-13 00:00:00,ACCC8E075950,Sivuovi,93,95
2024-02-13 00:00:00,2024-02-14 00:00:00,ACCC8E075950,Sivuovi,291,254
2024-02-14 00:00:00,2024-02-15 00:00:00,ACCC8E075950,Sivuovi,85,82
2024-02-15 00:00:00,2024-02-16 00:00:00,ACCC8E075950,Sivuovi,85,85
2024-02-16 00:00:00,2024-02-17 00:00:00,ACCC8E075950,Sivuovi,90,78
2024-02-17 00:00:00,2024-02-18 00:00:00,ACCC8E075950,Sivuovi,89,76
2024-02-18 00:00:00,2024-02-19 00:00:00,ACCC8E075950,Sivuovi,101,74
2024-02-19 00:00:00,2024-02-20 00:00:00,ACCC8E075950,Sivuovi,121,115
2024-02-20 00:00:00,2024-02-21 00:00:00,ACCC8E075950,Sivuovi,95,98
2024-02-21 00:00:00,2024-02-22 00:00:00,ACCC8E075950,Sivuovi,104,82
2024-02-22 00:00:00,2024-02-23 00:00:00,ACCC8E075950,Sivuovi,87,93
2024-02-23 00:00:00,2024-02-24 00:00:00,ACCC8E075950,Sivuovi,89,79
2024-02-24 00:00:00,2024-02-25 00:00:00,ACCC8E075950,Sivuovi,103,73
2024-02-25 00:00:00,2024-02-26 00:00:00,ACCC8E075950,Sivuovi,105,72
2024-02-26 00:00:00,2024-02-27 00:00:00,ACCC8E075950,Sivuovi,133,106
2024-02-27 00:00:00,2024-02-28 00:00:00,ACCC8E075950,Sivuovi,78,78
2024-02-28 00:00:00,2024-02-29 00:00:00,ACCC8E075950,Sivuovi,81,76
